Rank;Pair;Quote;Base
247;BTC/AUD;BTC;AUD
408;BNB/AUD;BNB;AUD
175;BAKE/BNB;BAKE;BNB
224;CAKE/BNB;CAKE;BNB
259;ADA/BNB;ADA;BNB
261;XRP/BNB;XRP;BNB
270;HOT/BNB;HOT;BNB
273;DOT/BNB;DOT;BNB
326;LUNA/BNB;LUNA;BNB
348;XVS/BNB;XVS;BNB
417;BURGER/BNB;BURGER;BNB
418;FTM/BNB;FTM;BNB
311;BTC/BRL;BTC;BRL
21;ETH/BTC;ETH;BTC
23;BNB/BTC;BNB;BTC
40;XRP/BTC;XRP;BTC
47;ADA/BTC;ADA;BTC
73;IOST/BTC;IOST;BTC
78;DOT/BTC;DOT;BTC
96;LTC/BTC;LTC;BTC
98;DOGE/BTC;DOGE;BTC
108;LINK/BTC;LINK;BTC
119;FTM/BTC;FTM;BTC
132;BCH/BTC;BCH;BTC
149;LUNA/BTC;LUNA;BTC
158;XEM/BTC;XEM;BTC
164;RVN/BTC;RVN;BTC
176;XLM/BTC;XLM;BTC
178;EOS/BTC;EOS;BTC
180;REEF/BTC;REEF;BTC
181;ANKR/BTC;ANKR;BTC
186;UNI/BTC;UNI;BTC
189;NXS/BTC;NXS;BTC
196;SUSHI/BTC;SUSHI;BTC
197;SXP/BTC;SXP;BTC
198;SOL/BTC;SOL;BTC
203;GRT/BTC;GRT;BTC
204;VET/BTC;VET;BTC
205;NEO/BTC;NEO;BTC
210;ATOM/BTC;ATOM;BTC
220;BQX/BTC;BQX;BTC
222;PIVX/BTC;PIVX;BTC
225;MATIC/BTC;MATIC;BTC
229;WBTC/BTC;WBTC;BTC
231;XMR/BTC;XMR;BTC
245;AAVE/BTC;AAVE;BTC
248;TRX/BTC;TRX;BTC
250;ALGO/BTC;ALGO;BTC
253;GAS/BTC;GAS;BTC
257;EGLD/BTC;EGLD;BTC
265;ENJ/BTC;ENJ;BTC
268;BNT/BTC;BNT;BTC
275;CAKE/BTC;CAKE;BTC
283;YFI/BTC;YFI;BTC
285;IOTA/BTC;IOTA;BTC
292;XTZ/BTC;XTZ;BTC
296;DASH/BTC;DASH;BTC
297;ARK/BTC;ARK;BTC
298;ZRX/BTC;ZRX;BTC
300;ALPHA/BTC;ALPHA;BTC
303;ICX/BTC;ICX;BTC
307;BAT/BTC;BAT;BTC
309;REN/BTC;REN;BTC
310;ONT/BTC;ONT;BTC
313;FIL/BTC;FIL;BTC
316;FTT/BTC;FTT;BTC
317;AION/BTC;AION;BTC
318;XVS/BTC;XVS;BTC
321;SAND/BTC;SAND;BTC
323;ZIL/BTC;ZIL;BTC
324;COTI/BTC;COTI;BTC
329;OMG/BTC;OMG;BTC
333;THETA/BTC;THETA;BTC
335;KSM/BTC;KSM;BTC
341;BTG/BTC;BTG;BTC
346;ZEC/BTC;ZEC;BTC
352;ETC/BTC;ETC;BTC
355;TFUEL/BTC;TFUEL;BTC
363;AVAX/BTC;AVAX;BTC
365;BAND/BTC;BAND;BTC
366;SNX/BTC;SNX;BTC
373;RUNE/BTC;RUNE;BTC
377;BTCST/BTC;BTCST;BTC
381;XVG/BTC;XVG;BTC
385;DODO/BTC;DODO;BTC
391;FET/BTC;FET;BTC
398;1INCH/BTC;1INCH;BTC
404;QTUM/BTC;QTUM;BTC
407;KMD/BTC;KMD;BTC
411;DGB/BTC;DGB;BTC
416;RSR/BTC;RSR;BTC
421;OCEAN/BTC;OCEAN;BTC
427;CRV/BTC;CRV;BTC
11;BTC/BUSD;BTC;BUSD
20;ETH/BUSD;ETH;BUSD
25;BNB/BUSD;BNB;BUSD
91;ADA/BUSD;ADA;BUSD
107;XRP/BUSD;XRP;BUSD
129;BAKE/BUSD;BAKE;BUSD
138;CAKE/BUSD;CAKE;BUSD
153;DOT/BUSD;DOT;BUSD
199;USDC/BUSD;USDC;BUSD
226;EUR/BUSD;EUR;BUSD
230;LTC/BUSD;LTC;BUSD
256;DOGE/BUSD;DOGE;BUSD
264;LINK/BUSD;LINK;BUSD
271;EOS/BUSD;EOS;BUSD
280;LUNA/BUSD;LUNA;BUSD
293;UNI/BUSD;UNI;BUSD
305;SXP/BUSD;SXP;BUSD
315;XLM/BUSD;XLM;BUSD
336;GBP/BUSD;GBP;BUSD
345;EGLD/BUSD;EGLD;BUSD
358;BCH/BUSD;BCH;BUSD
362;VET/BUSD;VET;BUSD
374;XVS/BUSD;XVS;BUSD
393;DODO/BUSD;DODO;BUSD
396;RVN/BUSD;RVN;BUSD
410;ICX/BUSD;ICX;BUSD
413;FRONT/BUSD;FRONT;BUSD
420;SOL/BUSD;SOL;BUSD
425;BTT/BUSD;BTT;BUSD
221;ETH/DAI;ETH;DAI
254;USDT/DAI;USDT;DAI
312;BTC/DAI;BTC;DAI
402;BUSD/DAI;BUSD;DAI
113;BNB/ETH;BNB;ETH
236;ADA/ETH;ADA;ETH
238;NPXS/ETH;NPXS;ETH
251;HOT/ETH;HOT;ETH
278;XRP/ETH;XRP;ETH
301;DENT/ETH;DENT;ETH
343;BETH/ETH;BETH;ETH
378;LINK/ETH;LINK;ETH
423;VET/ETH;VET;ETH
31;BTC/EUR;BTC;EUR
68;BNB/EUR;BNB;EUR
80;ETH/EUR;ETH;EUR
154;ADA/EUR;ADA;EUR
185;XRP/EUR;XRP;EUR
304;DOT/EUR;DOT;EUR
359;DOGE/EUR;DOGE;EUR
375;LTC/EUR;LTC;EUR
110;BTC/GBP;BTC;GBP
187;BNB/GBP;BNB;GBP
193;ETH/GBP;ETH;GBP
399;XRP/GBP;XRP;GBP
403;XRP/GBP;XRP;GBP
337;BTC/PAX;BTC;PAX
159;USDT/TRY;USDT;TRY
249;BTC/TRY;BTC;TRY
255;BNB/TRY;BNB;TRY
360;XRP/TRY;XRP;TRY
383;BUSD/TRY;BUSD;TRY
397;ETH/TRY;ETH;TRY
344;BTC/TUSD;BTC;TUSD
48;BTC/USDC;BTC;USDC
126;ETH/USDC;ETH;USDC
263;BNB/USDC;BNB;USDC
361;ADA/USDC;ADA;USDC
3;BTC/USDT;BTC;USDT
6;BNB/USDT;BNB;USDT
8;ETH/USDT;ETH;USDT
10;XRP/USDT;XRP;USDT
13;BUSD/USDT;BUSD;USDT
15;ADA/USDT;ADA;USDT
19;DOT/USDT;DOT;USDT
27;DOGE/USDT;DOGE;USDT
29;LTC/USDT;LTC;USDT
33;IOST/USDT;IOST;USDT
34;LINK/USDT;LINK;USDT
36;EOS/USDT;EOS;USDT
37;BCH/USDT;BCH;USDT
41;UNI/USDT;UNI;USDT
46;USDC/USDT;USDC;USDT
50;SXP/USDT;SXP;USDT
52;LUNA/USDT;LUNA;USDT
54;HOT/USDT;HOT;USDT
57;XLM/USDT;XLM;USDT
58;FTM/USDT;FTM;USDT
60;REEF/USDT;REEF;USDT
61;BTT/USDT;BTT;USDT
62;NEO/USDT;NEO;USDT
65;GRT/USDT;GRT;USDT
70;TRX/USDT;TRX;USDT
71;EUR/USDT;EUR;USDT
72;VET/USDT;VET;USDT
76;ONT/USDT;ONT;USDT
79;SUSHI/USDT;SUSHI;USDT
83;FIL/USDT;FIL;USDT
85;AAVE/USDT;AAVE;USDT
90;RVN/USDT;RVN;USDT
92;NPXS/USDT;NPXS;USDT
94;ATOM/USDT;ATOM;USDT
99;DASH/USDT;DASH;USDT
100;MATIC/USDT;MATIC;USDT
102;CAKE/USDT;CAKE;USDT
103;EGLD/USDT;EGLD;USDT
112;ALPHA/USDT;ALPHA;USDT
115;XVS/USDT;XVS;USDT
116;ETC/USDT;ETC;USDT
118;YFI/USDT;YFI;USDT
120;ANKR/USDT;ANKR;USDT
123;ALGO/USDT;ALGO;USDT
124;DODO/USDT;DODO;USDT
125;ZEC/USDT;ZEC;USDT
127;SOL/USDT;SOL;USDT
128;AVAX/USDT;AVAX;USDT
130;1INCH/USDT;1INCH;USDT
133;XEM/USDT;XEM;USDT
134;SFP/USDT;SFP;USDT
135;XTZ/USDT;XTZ;USDT
136;IOTA/USDT;IOTA;USDT
142;GBP/USDT;GBP;USDT
143;ZRX/USDT;ZRX;USDT
145;BTCUP/USDT;BTCUP;USDT
146;BAND/USDT;BAND;USDT
147;KSM/USDT;KSM;USDT
151;CRV/USDT;CRV;USDT
156;ICX/USDT;ICX;USDT
160;LIT/USDT;LIT;USDT
165;XMR/USDT;XMR;USDT
167;DENT/USDT;DENT;USDT
169;ZIL/USDT;ZIL;USDT
171;REN/USDT;REN;USDT
174;BTCST/USDT;BTCST;USDT
177;BNT/USDT;BNT;USDT
179;OMG/USDT;OMG;USDT
183;XRPUP/USDT;XRPUP;USDT
184;ETHUP/USDT;ETHUP;USDT
188;ENJ/USDT;ENJ;USDT
192;THETA/USDT;THETA;USDT
194;BNBUP/USDT;BNBUP;USDT
195;QTUM/USDT;QTUM;USDT
200;SAND/USDT;SAND;USDT
209;OCEAN/USDT;OCEAN;USDT
213;BTCDOWN/USDT;BTCDOWN;USDT
217;SRM/USDT;SRM;USDT
223;SNX/USDT;SNX;USDT
228;BAT/USDT;BAT;USDT
232;RUNE/USDT;RUNE;USDT
233;AION/USDT;AION;USDT
234;RSR/USDT;RSR;USDT
235;NEAR/USDT;NEAR;USDT
237;CHZ/USDT;CHZ;USDT
239;COTI/USDT;COTI;USDT
240;COMP/USDT;COMP;USDT
241;BZRX/USDT;BZRX;USDT
244;KAVA/USDT;KAVA;USDT
246;YFII/USDT;YFII;USDT
260;EOSUP/USDT;EOSUP;USDT
266;FTT/USDT;FTT;USDT
272;TUSD/USDT;TUSD;USDT
274;TFUEL/USDT;TFUEL;USDT
277;INJ/USDT;INJ;USDT
281;LRC/USDT;LRC;USDT
284;UNIUP/USDT;UNIUP;USDT
287;ONG/USDT;ONG;USDT
288;ZEN/USDT;ZEN;USDT
289;MFT/USDT;MFT;USDT
290;FET/USDT;FET;USDT
291;KEY/USDT;KEY;USDT
294;WAVES/USDT;WAVES;USDT
295;NANO/USDT;NANO;USDT
299;HBAR/USDT;HBAR;USDT
302;SUN/USDT;SUN;USDT
306;OXT/USDT;OXT;USDT
314;ADAUP/USDT;ADAUP;USDT
319;TWT/USDT;TWT;USDT
320;TOMO/USDT;TOMO;USDT
322;AUD/USDT;AUD;USDT
325;UNFI/USDT;UNFI;USDT
327;XTZUP/USDT;XTZUP;USDT
330;DIA/USDT;DIA;USDT
331;FLM/USDT;FLM;USDT
332;XLMUP/USDT;XLMUP;USDT
334;LTCUP/USDT;LTCUP;USDT
338;ETHDOWN/USDT;ETHDOWN;USDT
339;MANA/USDT;MANA;USDT
340;TRB/USDT;TRB;USDT
342;ROSE/USDT;ROSE;USDT
347;ONE/USDT;ONE;USDT
349;MKR/USDT;MKR;USDT
350;CVC/USDT;CVC;USDT
351;KMD/USDT;KMD;USDT
353;IOTX/USDT;IOTX;USDT
356;WRX/USDT;WRX;USDT
357;KNC/USDT;KNC;USDT
367;EOSDOWN/USDT;EOSDOWN;USDT
368;HARD/USDT;HARD;USDT
369;BNBDOWN/USDT;BNBDOWN;USDT
370;XRPDOWN/USDT;XRPDOWN;USDT
371;UNIDOWN/USDT;UNIDOWN;USDT
372;TRXUP/USDT;TRXUP;USDT
376;OGN/USDT;OGN;USDT
379;SXPUP/USDT;SXPUP;USDT
380;RLC/USDT;RLC;USDT
382;DGB/USDT;DGB;USDT
384;FILUP/USDT;FILUP;USDT
386;PNT/USDT;PNT;USDT
387;VTHO/USDT;VTHO;USDT
388;JST/USDT;JST;USDT
389;PAX/USDT;PAX;USDT
390;CTK/USDT;CTK;USDT
392;DOTUP/USDT;DOTUP;USDT
394;AKRO/USDT;AKRO;USDT
395;BEL/USDT;BEL;USDT
400;YFIUP/USDT;YFIUP;USDT
401;YFIUP/USDT;YFIUP;USDT
405;SUSHIUP/USDT;SUSHIUP;USDT
406;BTS/USDT;BTS;USDT
409;LSK/USDT;LSK;USDT
412;STMX/USDT;STMX;USDT
414;BAL/USDT;BAL;USDT
415;SC/USDT;SC;USDT
419;LINKUP/USDT;LINKUP;USDT
422;CELR/USDT;CELR;USDT
424;ANT/USDT;ANT;USDT
426;STX/USDT;STX;USDT
